120.78.86.191	3128	HTTP	None	China Proxy China	Guangdong	Shenzhen	14.9%	
175.144.112.236	80	HTTP	None	Malaysia Proxy Malaysia	Selangor	Kajang	52.9%	
182.160.109.145	8080	HTTP	None	Bangladesh Proxy Bangladesh			17.1%
159.69.137.249	80	HTTP	None	Germany Proxy Germany	Saxony	Falkenstein	59.0%	
47.57.188.208	80	HTTP	None	Canada Proxy Canada	Ontario	Ottawa	66.8%	
103.81.105.135	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	40.0%	
103.81.105.125	80	HTTP	None	Bangladesh Proxy Bangladesh	Manikganj	Manikganj	37.5%	
203.210.84.143	3128	HTTPS	None	Indonesia Proxy Indonesia	West Java	Bandung	29.1%	
65.20.183.187	8080	HTTP	None	Iraq Proxy Iraq			21.1%	
47.92.113.71	80	HTTP	None	Canada Proxy Canada	Ontario	Ottawa	48.0%	
